@relation 'HTS data set'
@attribute 'feature1' real
@attribute 'feature2' real
@attribute 'feature3' real
@attribute 'feature4' real
@attribute 'feature5' real
@attribute 'feature6' real
@attribute 'feature7' real
@attribute 'feature8' real
@attribute 'feature9' real
@attribute 'feature10' real
@attribute 'feature11' real
@attribute 'feature12' real
@attribute 'feature13' real
@attribute 'feature14' real
@attribute 'feature15' real
@attribute 'feature16' real
@attribute 'feature17' real
@attribute 'feature18' real
@attribute 'feature19' real
@attribute 'feature20' real
@attribute 'feature21' real
@attribute 'feature22' real
@attribute 'feature23' real
@attribute 'feature24' real
@attribute 'feature25' real
@attribute 'feature26' real
@attribute 'feature27' real
@attribute 'feature28' real
@attribute 'feature29' real
@attribute 'feature30' real
@attribute 'feature31' real
@attribute 'feature32' real
@attribute 'feature33' real
@attribute 'feature34' real
@attribute 'feature35' real
@attribute 'feature36' real
@attribute 'feature37' real
@attribute 'feature38' real
@attribute 'feature39' real
@attribute 'feature40' real
@attribute 'feature41' real
@attribute 'feature42' real
@attribute 'feature43' real
@attribute 'feature44' real
@attribute 'feature45' real
@attribute 'feature46' real
@attribute 'feature47' real
@attribute 'feature48' real
@attribute 'feature49' real
@attribute 'feature50' real
@attribute 'feature51' real
@attribute 'feature52' real
@attribute 'feature53' real
@attribute 'feature54' real
@attribute 'feature55' real
@attribute 'feature56' real
@attribute 'feature57' real
@attribute 'feature58' real
@attribute 'feature59' real
@attribute 'feature60' real
@attribute 'feature61' real
@attribute 'feature62' real
@attribute 'feature63' real
@attribute 'feature64' real
@attribute 'feature65' real
@attribute 'feature66' real
@attribute 'feature67' real
@attribute 'feature68' real
@attribute 'feature69' real
@attribute 'feature70' real
@attribute 'feature71' real
@attribute 'feature72' real
@attribute 'feature73' real
@attribute 'feature74' real
@attribute 'feature75' real
@attribute 'feature76' real
@attribute 'feature77' real
@attribute 'feature78' real
@attribute 'feature79' real
@attribute 'feature80' real
@attribute 'feature81' real
@attribute 'feature82' real
@attribute 'feature83' real
@attribute 'feature84' real
@attribute 'feature85' real
@attribute 'feature86' real
@attribute 'feature87' real
@attribute 'feature88' real
@attribute 'feature89' real
@attribute 'feature90' real
@attribute 'feature91' real
@attribute 'feature92' real
@attribute 'feature93' real
@attribute class {1 2 3 4 5 6 }
@data
0.004098,0.000093,0.004085,0.000096,0.009638,0.001615,0.005163,0.002488,1046.000000,0.817492,0.900947,0.596011,1.000000,137.296465,0.687257,50.061776,28.832563,47.992182,0.059411,2.689427,0.005905,1.351747,0.501556,8.530837,2.720415,1.914886,3.109045,1.074177,1.389001,-0.012766,0.197943,0.010214,0.000302,0.035905,2.496696,0.544051,2.747351,0.516373,9.818282,8.454864,2.431990,3.539875,1.042388,1.335904,-0.129220,0.622416,0.094055,0.009492,0.089317,1.852275,0.029713,0.957140,0.572117,8.502696,1.965326,1.754154,2.776261,0.815717,1.246437,-0.003855,0.103332,0.008746,0.000767,0.061372,2.769890,-0.010308,1.374312,0.507818,8.544676,2.713120,1.911068,3.120702,1.165032,1.407471,-0.013959,0.207249,0.004591,0.005859,0.089399,1.870034,0.023623,0.957160,0.567328,8.513805,1.959798,1.752087,2.779592,0.809896,1.247734,-0.003413,0.097253,0.011022,0.000707,1
0.004116,0.000099,0.004096,0.000100,0.009020,0.001285,0.005060,0.002111,847.000000,0.530623,0.968000,0.758961,1.000000,110.083261,0.862573,35.918841,30.445087,27.542205,0.046651,3.456233,0.014032,1.736671,0.448888,9.480106,3.551992,2.046246,3.347953,1.281195,1.476909,-0.018618,0.247405,0.006336,0.005716,0.034546,2.286472,0.603126,2.724738,0.527719,9.201592,9.182173,2.475894,3.562871,0.936684,1.318741,-0.140240,0.647224,0.092524,0.060014,0.051118,3.008150,0.070181,1.620598,0.482599,8.837244,3.462026,2.038076,3.300293,1.188416,1.430852,-0.004829,0.125936,0.001323,0.002913,0.048577,3.421965,0.023294,1.764250,0.467689,9.514451,3.579271,2.048917,3.348843,1.358674,1.498114,-0.017820,0.241821,0.004669,0.006359,0.051243,3.039437,0.057128,1.626309,0.482883,8.840205,3.406988,2.030739,3.296224,1.206377,1.440265,-0.004714,0.124487,0.003196,0.002519,1
0.004152,0.000104,0.004126,0.000104,0.009206,0.001488,0.004870,0.002113,890.000000,0.861434,0.771899,0.494444,1.000000,148.710678,0.498993,53.425289,27.133103,-57.348501,0.059445,2.719041,0.028139,1.377143,0.498759,7.826897,2.870169,1.940206,3.131741,1.085002,1.388751,-0.016827,0.227884,0.003046,0.004213,0.033037,2.926764,0.479751,2.731687,0.508941,9.669774,8.319712,2.439250,3.604197,1.285909,1.428814,-0.102665,0.569544,0.114894,0.019119,0.078927,1.883357,0.086893,1.030229,0.558623,8.426621,2.241805,1.817389,2.851670,0.787193,1.241605,-0.006477,0.135539,0.002040,0.001266,0.061613,2.579186,0.078480,1.392236,0.517170,7.858220,2.981407,1.955207,3.109539,1.086587,1.368306,-0.023765,0.268775,0.000661,0.006277,0.078763,1.874557,0.092028,1.030531,0.558431,8.449260,2.254510,1.817921,2.851865,0.781206,1.237053,-0.007062,0.141514,0.002268,0.004391,1
0.004135,0.000115,0.004091,0.000105,0.010992,0.002424,0.005115,0.002921,933.000000,0.615114,0.953013,0.722136,1.000000,118.911688,0.815396,39.062478,30.798362,-24.236578,0.078436,2.191336,0.104657,1.244214,0.556554,6.607702,2.702901,1.870724,2.932799,0.994800,1.314162,-0.028702,0.286919,0.012886,0.005617,0.041631,1.549940,0.731384,2.929523,0.597848,8.900120,9.981600,2.519243,3.404546,0.691363,1.167578,-0.218708,0.753436,0.069258,0.018821,0.101475,1.456573,0.117857,0.828481,0.609526,6.913146,1.845743,1.715992,2.622639,0.660177,1.152960,-0.009004,0.153202,0.003314,0.001301,0.077897,2.277851,0.088540,1.270586,0.545949,6.634338,2.719502,1.883172,2.959333,1.001513,1.333868,-0.020598,0.245095,0.020775,0.018079,0.100742,1.472536,0.109452,0.832326,0.603081,6.929725,1.834318,1.711976,2.624290,0.651888,1.151439,-0.008657,0.150388,0.005069,0.002591,1
0.004126,0.000102,0.004108,0.000100,0.008512,0.001017,0.004625,0.001697,689.000000,0.562050,0.891332,0.614082,1.000000,108.325902,0.724408,34.282187,28.354914,37.807750,0.053295,3.074703,0.003029,1.529040,0.475275,8.864177,3.088513,1.975897,3.219233,1.197477,1.438033,-0.026614,0.288714,0.002967,0.007425,0.032898,2.835314,0.542617,3.157336,0.496146,10.258065,9.559888,2.482145,3.597823,1.143990,1.406355,-0.136946,0.641966,0.022124,0.069730,0.063906,2.382220,0.063507,1.274179,0.519682,8.261971,2.705260,1.914344,3.067510,0.963988,1.334805,-0.004093,0.111845,0.002365,0.003065,0.055753,3.019048,0.020740,1.514761,0.504463,8.862857,3.127859,1.980724,3.204301,1.296704,1.459643,-0.031225,0.311458,0.003788,0.002617,0.064079,2.336891,0.084684,1.278038,0.526378,8.278185,2.769177,1.926325,3.069001,0.960952,1.333129,-0.005460,0.129110,0.001680,0.003608,1
0.004110,0.000099,0.004078,0.000100,0.012136,0.003058,0.005360,0.003431,1044.000000,0.796514,0.900000,0.592172,1.000000,137.296465,0.685943,49.266437,29.787506,-41.169919,0.052580,2.880613,0.058098,1.529080,0.490430,8.799562,3.235838,2.001590,3.224054,1.141566,1.419173,-0.012707,0.201088,0.004877,0.004658,0.043345,1.764513,0.686418,2.862753,0.593770,8.890471,9.479789,2.500761,3.367776,0.824908,1.233982,-0.222836,0.756144,0.061111,0.043992,0.073431,2.114357,0.070551,1.138950,0.543843,9.155682,2.435328,1.862424,2.953828,0.886816,1.291759,-0.003878,0.106849,0.003660,0.002586,0.053743,3.221154,-0.036046,1.545396,0.492077,8.807692,2.996672,1.961311,3.228151,1.356879,1.479765,-0.017872,0.238254,0.007918,0.005086,0.073442,2.158021,0.047962,1.134408,0.538543,9.176049,2.375372,1.850551,2.951800,0.895911,1.298262,-0.003112,0.095698,0.003874,0.001231,1
0.004088,0.000097,0.004059,0.000099,0.011399,0.002543,0.005280,0.003137,1047.000000,0.726174,0.932324,0.699866,1.000000,126.811183,0.805413,44.877288,30.853625,-72.417407,0.040031,4.012022,-0.012565,1.954868,0.453773,9.010929,3.912449,2.091049,3.472975,1.634022,1.574209,-0.016331,0.236108,0.007472,0.006975,0.034678,2.363934,0.646267,3.333422,0.532216,10.073224,11.001196,2.537829,3.560373,1.009191,1.332822,-0.184069,0.717268,0.080962,0.052049,0.084135,1.829713,0.082812,0.992399,0.565458,8.579713,2.160067,1.801512,2.822577,0.775613,1.233621,-0.005522,0.124651,0.002324,0.002273,0.040453,3.893591,0.010158,1.931350,0.434122,9.049577,3.972149,2.104456,3.467631,1.467983,1.526733,-0.014187,0.220243,0.002030,0.003957,0.084283,1.835110,0.078307,0.989946,0.569341,8.595583,2.146805,1.800012,2.820995,0.793560,1.238039,-0.004983,0.118419,0.000675,0.001173,1
0.004155,0.000099,0.004110,0.000104,0.015269,0.004528,0.005855,0.004642,870.000000,0.753268,0.981941,0.757840,1.000000,112.325902,0.851277,41.354195,27.199210,-5.462073,0.054138,3.050891,0.021924,1.539779,0.478360,7.821883,3.187104,1.987874,3.220475,1.197690,1.431016,-0.017468,0.235227,0.006149,0.000809,0.046501,1.880407,0.720218,3.437589,0.566397,10.152672,11.546666,2.529097,3.344999,0.813155,1.240598,-0.244719,0.779070,0.078003,0.209318,0.070288,2.216097,0.094901,1.223900,0.538619,8.125553,2.680816,1.907783,3.016602,0.933780,1.316013,-0.006203,0.136375,0.001428,0.001286,0.054340,3.094521,0.011881,1.529940,0.482435,7.826027,3.168364,1.977568,3.218520,1.236714,1.448130,-0.019637,0.249387,0.011772,0.001944,0.070523,2.206968,0.101663,1.225689,0.538439,8.146412,2.706477,1.910004,3.018717,0.927658,1.311054,-0.006935,0.144244,0.002489,0.001404,1
0.004192,0.000104,0.004154,0.000122,0.014908,0.004590,0.005994,0.004676,973.000000,0.756370,0.975928,0.737121,1.000000,121.154329,0.819417,44.131672,28.868489,78.098496,0.062763,2.354340,0.115393,1.327526,0.527066,8.439952,2.959831,1.946832,3.048729,0.974204,1.337453,-0.017980,0.232028,0.004029,0.003735,0.045505,2.980975,0.509831,3.097821,0.510745,9.475624,9.179251,2.452023,3.401691,1.304243,1.436235,-0.170405,0.685597,0.205079,0.108761,0.076123,1.715754,0.305986,1.243747,0.576933,7.437834,3.228543,1.964301,2.944164,0.736597,1.209555,-0.038762,0.331806,0.001754,0.001116,0.062308,2.720530,-0.019357,1.325461,0.506830,8.439735,2.596037,1.884695,3.047547,1.117204,1.396087,-0.016983,0.225651,0.001763,0.005877,0.074204,1.948350,0.216368,1.253560,0.558942,7.472843,3.024011,1.940461,2.975263,0.834177,1.257902,-0.021671,0.251571,0.004317,0.000887,1
0.004136,0.000100,0.004099,0.000102,0.011862,0.002576,0.005384,0.003248,296.000000,0.650062,0.899696,0.632479,1.000000,72.526912,0.688032,22.827349,17.346070,-87.425549,0.055900,2.990868,0.004616,1.459728,0.454123,9.557078,3.013865,1.939569,3.137896,1.025750,1.390308,-0.052423,0.395260,0.007477,0.005387,0.054357,2.767123,0.690374,4.128521,0.529251,11.004566,10.378975,2.419900,3.151610,1.247138,1.395983,-0.228342,0.769951,0.075575,0.045546,0.067506,2.267632,0.089696,1.236363,0.533800,7.509446,2.707090,1.912219,3.011203,0.946870,1.326055,-0.012583,0.193594,0.001947,0.001690,0.055710,2.687151,0.117770,1.536656,0.509581,9.603352,3.401330,2.003237,3.148437,1.107144,1.390724,-0.054844,0.403973,0.006317,0.003546,0.066972,2.243836,0.100743,1.242546,0.522056,7.526027,2.731514,1.916652,3.009328,0.888047,1.300996,-0.013056,0.196942,0.000398,0.003076,1
